,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,average,average
Start:              ,0,0
Points:             ,71000,71000
Count:              ,48,48
XDispRange:         ,7.10000E+00,7.10000E+00
XDispOrg:           ,-3.67099999999998E-02,-3.67099999999998E-02
XInc:               ,1.00000000000000E-04,1.00000000000000E-04
XOrg:               ,-3.66100000000001E-02,-3.66100000000001E-02
Units:              ,Second,Second
XReference:         ,4,4
YDispRange:         ,4.00000E-01,8.00000E+00
YDispOrg:           ,5.87999999523163E-01,2.35999989509583E+00
YInc:               ,6.587944310779E-06,1.31762197229732E-04
YOrg:               ,5.94640647865265E-01,2.49281629480757E+00
Units:              ,Volt,Volt
YReference:         ,1,1
Frame:              ,DSOS104A:MY55510295,DSOS104A:MY55510295
Date:               ,10 MAY 2018,10 MAY 2018
Time:               ,18:08:09,18:08:09
Max Bandwidth:      ,5000,5000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-3.67100E-02, 4.864732E-01, 5.043930E-01
-3.66100E-02, 4.828762E-01, 5.005718E-01
-3.65100E-02, 4.867894E-01, 5.020213E-01
-3.64100E-02, 4.875207E-01, 5.058424E-01
-3.63100E-02, 4.835415E-01, 5.020213E-01
-3.62100E-02, 4.873757E-01, 5.086094E-01
-3.61100E-02, 4.878632E-01, 5.053153E-01
-3.60100E-02, 4.799050E-01, 4.984637E-01
-3.59100E-02, 4.808800E-01, 5.025483E-01
-3.58100E-02, 4.875273E-01, 5.046565E-01
-3.57100E-02, 4.837194E-01, 5.067647E-01
-3.56100E-02, 4.859066E-01, 5.028118E-01
-3.55100E-02, 4.918028E-01, 5.067647E-01
-3.54100E-02, 4.927449E-01, 5.105858E-01
-3.53100E-02, 4.906170E-01, 5.072917E-01
-3.52100E-02, 4.918226E-01, 5.171739E-01
-3.51100E-02, 4.907422E-01, 5.130893E-01
-3.50100E-02, 4.921520E-01, 5.051836E-01
-3.49100E-02, 4.875668E-01, 5.029436E-01
-3.48100E-02, 4.864600E-01, 5.088729E-01
-3.47100E-02, 4.831529E-01, 5.061059E-01
-3.46100E-02, 4.848526E-01, 5.012307E-01
-3.45100E-02, 4.838973E-01, 5.029436E-01
-3.44100E-02, 4.823557E-01, 5.038660E-01
-3.43100E-02, 4.854784E-01, 5.018895E-01
-3.42100E-02, 4.863744E-01, 5.055788E-01
-3.41100E-02, 4.885747E-01, 5.171739E-01
-3.40100E-02, 4.877315E-01, 5.038660E-01
-3.39100E-02, 4.879357E-01, 5.062376E-01
-3.38100E-02, 4.788312E-01, 4.943790E-01
-3.37100E-02, 4.856826E-01, 5.095317E-01
-3.36100E-02, 4.884562E-01, 5.095317E-01
-3.35100E-02, 4.833769E-01, 5.038660E-01
-3.34100E-02, 4.931665E-01, 5.153292E-01
-3.33100E-02, 4.947740E-01, 5.153292E-01
-3.32100E-02, 4.921125E-01, 5.100588E-01
-3.31100E-02, 4.939900E-01, 5.126940E-01
-3.30100E-02, 4.878501E-01, 5.075552E-01
-3.29100E-02, 4.842069E-01, 5.033389E-01
-3.28100E-02, 4.856497E-01, 5.096635E-01
-3.27100E-02, 4.802608E-01, 4.984637E-01
-3.26100E-02, 4.797008E-01, 5.022848E-01
-3.25100E-02, 4.835152E-01, 5.033389E-01
-3.24100E-02, 4.849119E-01, 5.047883E-01
-3.23100E-02, 4.796876E-01, 4.931932E-01
-3.22100E-02, 4.877315E-01, 4.975413E-01
-3.21100E-02, 4.885155E-01, 5.079505E-01
-3.20100E-02, 4.808668E-01, 5.018895E-01
-3.19100E-02, 4.824084E-01, 4.997813E-01
-3.18100E-02, 4.839368E-01, 5.030754E-01
-3.17100E-02, 4.841608E-01, 5.112446E-01
-3.16100E-02, 4.819539E-01, 5.034707E-01
-3.15100E-02, 4.894773E-01, 5.041295E-01
-3.14100E-02, 4.923101E-01, 5.083458E-01
-3.13100E-02, 4.955119E-01, 5.177010E-01
-3.12100E-02, 4.874482E-01, 5.124305E-01
-3.11100E-02, 4.826390E-01, 5.022848E-01
-3.10100E-02, 4.871122E-01, 5.024166E-01
-3.09100E-02, 4.881926E-01, 5.099270E-01
-3.08100E-02, 4.882849E-01, 5.071600E-01
-3.07100E-02, 4.815849E-01, 5.072917E-01
-3.06100E-02, 4.863019E-01, 5.054471E-01
-3.05100E-02, 4.880082E-01, 5.049200E-01
-3.04100E-02, 4.858012E-01, 5.100588E-01
-3.03100E-02, 4.888910E-01, 5.082141E-01
-3.02100E-02, 4.914800E-01, 5.112446E-01
-3.01100E-02, 4.877842E-01, 5.054471E-01
-3.00100E-02, 4.852412E-01, 5.038660E-01
-2.99100E-02, 4.805243E-01, 4.987272E-01
-2.98100E-02, 4.826127E-01, 4.993860E-01
-2.97100E-02, 4.851029E-01, 5.047883E-01
-2.96100E-02, 4.863414E-01, 5.051836E-01
-2.95100E-02, 4.845693E-01, 5.065012E-01
-2.94100E-02, 4.884693E-01, 5.090047E-01
-2.93100E-02, 4.934564E-01, 5.130893E-01
-2.92100E-02, 4.858342E-01, 5.021530E-01
-2.91100E-02, 4.938122E-01, 5.095317E-01
-2.90100E-02, 4.902152E-01, 5.109811E-01
-2.89100E-02, 4.864995E-01, 5.068964E-01
-2.88100E-02, 4.866708E-01, 5.108493E-01
-2.87100E-02, 4.856892E-01, 5.083458E-01
-2.86100E-02, 4.823557E-01, 5.021530E-01
-2.85100E-02, 4.843980E-01, 5.029436E-01
-2.84100E-02, 4.912890E-01, 5.150657E-01
-2.83100E-02, 4.914800E-01, 5.157245E-01
-2.82100E-02, 4.880938E-01, 5.126940E-01
-2.81100E-02, 4.895102E-01, 5.078188E-01
-2.80100E-02, 4.865720E-01, 5.016260E-01
-2.79100E-02, 4.849119E-01, 5.016260E-01
-2.78100E-02, 4.830804E-01, 5.026801E-01
-2.77100E-02, 4.899121E-01, 5.092682E-01
-2.76100E-02, 4.896420E-01, 5.024166E-01
-2.75100E-02, 4.861175E-01, 5.078188E-01
-2.74100E-02, 4.850765E-01, 5.029436E-01
-2.73100E-02, 4.870266E-01, 4.976731E-01
-2.72100E-02, 4.812489E-01, 4.982001E-01
-2.71100E-02, 4.813939E-01, 5.014942E-01
-2.70100E-02, 4.802410E-01, 5.022848E-01
-2.69100E-02, 4.819341E-01, 5.030754E-01
-2.68100E-02, 4.832714E-01, 5.045248E-01
-2.67100E-02, 4.770590E-01, 4.966190E-01
-2.66100E-02, 4.823557E-01, 4.995178E-01
-2.65100E-02, 4.897606E-01, 5.036024E-01
-2.64100E-02, 4.842728E-01, 5.041295E-01
-2.63100E-02, 4.889766E-01, 5.087411E-01
-2.62100E-02, 4.925736E-01, 5.046565E-01
-2.61100E-02, 4.894575E-01, 5.092682E-01
-2.60100E-02, 4.898660E-01, 5.095317E-01
-2.59100E-02, 4.833241E-01, 5.036024E-01
-2.58100E-02, 4.859659E-01, 5.078188E-01
-2.57100E-02, 4.847537E-01, 5.020213E-01
-2.56100E-02, 4.854060E-01, 5.058424E-01
-2.55100E-02, 4.843585E-01, 5.014942E-01
-2.54100E-02, 4.846747E-01, 5.066329E-01
-2.53100E-02, 4.892731E-01, 5.112446E-01
-2.52100E-02, 4.805902E-01, 4.968825E-01
-2.51100E-02, 4.886604E-01, 5.061059E-01
-2.50100E-02, 4.871320E-01, 5.005718E-01
-2.49100E-02, 4.844573E-01, 5.028118E-01
-2.48100E-02, 4.827312E-01, 5.047883E-01
-2.47100E-02, 4.838051E-01, 5.083458E-01
-2.46100E-02, 4.885286E-01, 5.075552E-01
-2.45100E-02, 4.850634E-01, 5.070282E-01
-2.44100E-02, 4.858803E-01, 5.042612E-01
-2.43100E-02, 4.844968E-01, 5.001766E-01
-2.42100E-02, 4.889041E-01, 5.061059E-01
-2.41100E-02, 4.879225E-01, 5.076870E-01
-2.40100E-02, 4.937331E-01, 5.105858E-01
-2.39100E-02, 4.941218E-01, 5.134846E-01
-2.38100E-02, 4.909662E-01, 5.049200E-01
-2.37100E-02, 4.918028E-01, 5.122987E-01
-2.36100E-02, 4.871649E-01, 4.988590E-01
-2.35100E-02, 4.884035E-01, 5.100588E-01
-2.34100E-02, 4.889305E-01, 5.141434E-01
-2.33100E-02, 4.805045E-01, 5.004401E-01
-2.32100E-02, 4.851885E-01, 5.039977E-01
-2.31100E-02, 4.883442E-01, 5.043930E-01
-2.30100E-02, 4.875997E-01, 5.034707E-01
-2.29100E-02, 4.873296E-01, 5.067647E-01
-2.28100E-02, 4.834823E-01, 4.983319E-01
-2.27100E-02, 4.922310E-01, 5.140116E-01
-2.26100E-02, 4.862953E-01, 5.022848E-01
-2.25100E-02, 4.884101E-01, 5.101905E-01
-2.24100E-02, 4.892006E-01, 5.029436E-01
-2.23100E-02, 4.886274E-01, 5.061059E-01
-2.22100E-02, 4.886670E-01, 5.087411E-01
-2.21100E-02, 4.874021E-01, 5.022848E-01
-2.20100E-02, 4.933971E-01, 5.125622E-01
-2.19100E-02, 4.883178E-01, 5.087411E-01
-2.18100E-02, 4.892269E-01, 5.047883E-01
-2.17100E-02, 4.866708E-01, 5.076870E-01
-2.16100E-02, 4.865918E-01, 5.046565E-01
-2.15100E-02, 4.822108E-01, 5.041295E-01
-2.14100E-02, 4.845231E-01, 5.075552E-01
-2.13100E-02, 4.818419E-01, 4.991225E-01
-2.12100E-02, 4.807746E-01, 5.033389E-01
-2.11100E-02, 4.828235E-01, 5.003083E-01
-2.10100E-02, 4.810315E-01, 4.992543E-01
-2.09100E-02, 4.844441E-01, 5.009671E-01
-2.08100E-02, 4.854257E-01, 5.036024E-01
-2.07100E-02, 4.847010E-01, 5.039977E-01
-2.06100E-02, 4.900768E-01, 5.029436E-01
-2.05100E-02, 4.800631E-01, 4.971461E-01
-2.04100E-02, 4.883705E-01, 5.057106E-01
-2.03100E-02, 4.901163E-01, 5.050518E-01
-2.02100E-02, 4.890491E-01, 5.122987E-01
-2.01100E-02, 4.887263E-01, 5.067647E-01
-2.00100E-02, 4.934300E-01, 5.142751E-01
-1.99100E-02, 4.947740E-01, 5.173057E-01
-1.98100E-02, 4.937529E-01, 5.122987E-01
-1.97100E-02, 4.868948E-01, 5.021530E-01
-1.96100E-02, 4.865786E-01, 5.041295E-01
-1.95100E-02, 4.869277E-01, 5.103223E-01
-1.94100E-02, 4.857880E-01, 5.004401E-01
-1.93100E-02, 4.784557E-01, 4.968825E-01
-1.92100E-02, 4.777507E-01, 4.912167E-01
-1.91100E-02, 4.882453E-01, 5.094000E-01
-1.90100E-02, 4.813083E-01, 5.014942E-01
-1.89100E-02, 4.825270E-01, 5.058424E-01
-1.88100E-02, 4.839764E-01, 5.067647E-01
-1.87100E-02, 4.855838E-01, 5.046565E-01
-1.86100E-02, 4.884562E-01, 5.092682E-01
-1.85100E-02, 4.900768E-01, 5.053153E-01
-1.84100E-02, 4.850304E-01, 5.033389E-01
-1.83100E-02, 4.868421E-01, 5.072917E-01
-1.82100E-02, 4.857287E-01, 5.024166E-01
-1.81100E-02, 4.891677E-01, 5.063694E-01
-1.80100E-02, 4.924419E-01, 5.101905E-01
-1.79100E-02, 4.873428E-01, 5.091364E-01
-1.78100E-02, 4.891677E-01, 5.092682E-01
-1.77100E-02, 4.960784E-01, 5.129575E-01
-1.76100E-02, 4.929360E-01, 5.088729E-01
-1.75100E-02, 4.971325E-01, 5.086094E-01
-1.74100E-02, 4.938188E-01, 5.095317E-01
-1.73100E-02, 4.948860E-01, 5.170422E-01
-1.72100E-02, 4.834164E-01, 5.036024E-01
-1.71100E-02, 4.839698E-01, 5.003083E-01
-1.70100E-02, 4.898133E-01, 5.083458E-01
-1.69100E-02, 4.819868E-01, 4.995178E-01
-1.68100E-02, 4.837458E-01, 5.055788E-01
-1.67100E-02, 4.845759E-01, 5.072917E-01
-1.66100E-02, 4.841411E-01, 5.045248E-01
-1.65100E-02, 4.842465E-01, 5.053153E-01
-1.64100E-02, 4.851556E-01, 5.010989E-01
-1.63100E-02, 4.912165E-01, 5.090047E-01
-1.62100E-02, 4.852610E-01, 5.030754E-01
-1.61100E-02, 4.870859E-01, 5.062376E-01
-1.60100E-02, 4.851754E-01, 5.067647E-01
-1.59100E-02, 4.906302E-01, 5.058424E-01
-1.58100E-02, 4.908871E-01, 5.170422E-01
-1.57100E-02, 4.820132E-01, 5.001766E-01
-1.56100E-02, 4.859264E-01, 5.068964E-01
-1.55100E-02, 4.907488E-01, 5.137481E-01
-1.54100E-02, 4.902547E-01, 5.065012E-01
-1.53100E-02, 4.849909E-01, 4.983319E-01
-1.52100E-02, 4.896091E-01, 5.099270E-01
-1.51100E-02, 4.940427E-01, 5.105858E-01
-1.50100E-02, 4.857222E-01, 5.020213E-01
-1.49100E-02, 4.839764E-01, 5.028118E-01
-1.48100E-02, 4.841279E-01, 4.972778E-01
-1.47100E-02, 4.850239E-01, 5.066329E-01
-1.46100E-02, 4.859857E-01, 5.091364E-01
-1.45100E-02, 4.880016E-01, 5.065012E-01
-1.44100E-02, 4.903667E-01, 5.083458E-01
-1.43100E-02, 4.891347E-01, 5.083458E-01
-1.42100E-02, 4.868882E-01, 5.030754E-01
-1.41100E-02, 4.905511E-01, 5.095317E-01
-1.40100E-02, 4.881729E-01, 5.095317E-01
-1.39100E-02, 4.876722E-01, 5.104541E-01
-1.38100E-02, 4.877512E-01, 5.067647E-01
-1.37100E-02, 4.901822E-01, 5.095317E-01
-1.36100E-02, 4.845627E-01, 5.049200E-01
-1.35100E-02, 4.858869E-01, 5.041295E-01
-1.34100E-02, 4.859461E-01, 5.063694E-01
-1.33100E-02, 4.880477E-01, 5.065012E-01
-1.32100E-02, 4.852478E-01, 5.059741E-01
-1.31100E-02, 4.875207E-01, 5.039977E-01
-1.30100E-02, 4.892665E-01, 5.067647E-01
-1.29100E-02, 4.867301E-01, 5.063694E-01
-1.28100E-02, 4.905314E-01, 5.099270E-01
-1.27100E-02, 4.911111E-01, 5.136163E-01
-1.26100E-02, 4.858012E-01, 5.021530E-01
-1.25100E-02, 4.861438E-01, 5.055788E-01
-1.24100E-02, 4.860581E-01, 5.017577E-01
-1.23100E-02, 4.899253E-01, 5.157245E-01
-1.22100E-02, 4.825929E-01, 4.985954E-01
-1.21100E-02, 4.845363E-01, 5.066329E-01
-1.20100E-02, 4.842267E-01, 5.000448E-01
-1.19100E-02, 4.882519E-01, 5.074235E-01
